twitter_id,original_text,slug,party_slug,party_original,toxic_original,very_toxic_original,most_toxic_party,most_toxic_party_toxicity,most_verytoxic_party,most_verytoxic_party_toxicity,PARTIDO_toxic,PARTIDO_verytoxic
1344934218145669120,"Llegará un momento que los miembros de este Gobierno y sus caras más visibles pagarán por su incompetencia con la epidemia del coronavirus. Así que : Sres. Illa, Simón, Aparicio, e Iglesias: no estén tranquilos, VOX no es el PP.",juan-luis-steegmann-olmedillas,vox,VOX,0.9952890872955322,0.9961323738098145,Unidas Podemos,0.9962239265441895,VOX,0.9961323738098145,0.9954586029052734,0.9957450032234192
1345687387058278401,https://t.co/SSWahYhsnN Illa engaña a la oposición al vetar las enmiendas de sanidad. Y la periodista engaña a sus lectores al no mencionar a VOX,juan-luis-steegmann-olmedillas,vox,VOX,0.9949593544006348,0.9949147701263428,PODEMOS,0.9957947731018066,PSOE,0.9949167966842651,0.9947910308837891,0.9933710098266602
1345688371511894016,"Illa engaña a la oposición al vetar las enmiendas de sanidad. Y la periodista de @abc_es , la Sra. Sánchez, engaña a sus lectores al no mencionar al @VOX_Congreso, que desde el inicio de la discusión acusó a la siniestra de obstruccionismo. Basta ya de censura, @abc_es",juan-luis-steegmann-olmedillas,vox,VOX,0.9959557056427002,0.993302583694458,Cs,0.9961155652999878,PP,0.9939435124397278,0.9959854483604431,0.9931952953338623
1346389154616250368,"A propósito del vídeo melifluo de los cinco diputados, @iruizquintano genial como casi siempre ( el casi lo hace a propósito) dice: “ Crispar es llevar la contraria al que manda” Y es que la franqueza de VOX crispa mucho.",juan-luis-steegmann-olmedillas,vox,VOX,0.044452544301748276,0.000683052814565599,Unidas Podemos,0.08378048986196518,PSOE,0.0007775334524922073,0.016968512907624245,0.0008316735038533807
1346920089254326272,"La internacional delirante de extrema derecha vive hoy su éxtasis. VOX esperaría que triunfara, la derecha calla por si triunfan. Años diciendo que a los golpistas lunáticos hay que atajarlos con firmeza democrática y derechos sociales aquí, en EEUU y en todo el planeta. Es hora.",anton-gomez-reino-varela,podemos,VOX,0.9839942455291748,0.029046153649687767,PSOE,0.9870020151138306,Unidas Podemos,0.03460603579878807,0.9849302768707275,0.03188880532979965
1347109703084601346,"Es fácil. PP y Ciudadanos están comparando (psicotrópicamente) el intento de golpe de estado de Trump con el 15M porque condenarlo sería reconocer que el referente de VOX, que sostiene sus gobiernos en Murcia, Andalucía, Madrid o Zaragoza, es un golpista de ultraderecha.",pablo-echenique-robba,podemos,VOX,0.9820806980133057,0.021865714341402054,VOX,0.9820806980133057,VOX,0.021865714341402054,0.9776925444602966,0.01524807047098875
1347144122570829824,"Trump es el favorito de VOX
Es el favorito de Abascal
Es el favorito de la ultraderecha
Es el favorito de los asaltantes
Es el favorito de los violentos
Es el favorito de los racistas
Es el favorito de los mentirosos
Es el favorito de los machistas
Es el favorito de los golpistas",jose-zaragoza-alonso,psoe,VOX,0.9926645159721375,0.9978808760643005,Partido popular,0.9930219054222107,Ciudadanos,0.9979561567306519,0.9927776455879211,0.9978118538856506
1347150162829996033,"Hemos vuelto a ver al PP y a Cs arrastrados por VOX, incapaces de condenar con contundencia el intento de golpe de estado de Trump.

Sorprendentemente, la prensa de TODO el espectro ideológico era más contundente que ellos. Aquí, Pedro Piqueras llama golpista a Trump.

HILO 👇 https://t.co/7fW4YDmed2",pablo-echenique-robba,podemos,VOX,0.9934303164482117,0.13712437450885773,PSOE,0.9941242337226868,VOX,0.13712437450885773,0.9912660717964172,0.07006413489580154
1347530787353100290,"La misma mierda racista que sueltan los diputados de VOX desde la tribuna del congreso.
Esto es un delito.
 https://t.co/RMZy9IFWjj",jose-zaragoza-alonso,psoe,VOX,0.9941990375518799,0.9938932657241821,Unidas Podemos,0.99540776014328,Ciudadanos,0.9960380792617798,0.9946927428245544,0.9947496056556702
1347857856779968513,".@MonederoJC llamó nazi y ""criminal contra la humanidad"" a VOX por defender una inmigración legal y ajustada a las necesidades del país. Ahora es convocado por el juez por posible delito de injuria. ¿Principio del fin del ""todo vale contra VOX""?: https://t.co/dnApUDlwfz",francisco-jose-contreras-pelaez,vox,VOX,0.9277125597000122,0.00454790098592639,Vox,0.9514878392219543,Vox,0.005980262067168951,0.8620924949645996,0.002637258032336831
