twitter_id,original_text,slug,party_slug,party_original,toxic_original,very_toxic_original,most_toxic_party,most_toxic_party_toxicity,most_verytoxic_party,most_verytoxic_party_toxicity,PARTIDO_toxic,PARTIDO_verytoxic
1349633257432883200,"La propuesta de ⁦@PODEMOS⁩ para regular el mercado de la luz es pasar de un “supuesto oligopolio” a un mejor monopolio público. 

“Montero afirma que llegarán hasta el final para reformar el mercado eléctrico” https://t.co/a8mcKxerqa",diego-gago-bugarin,partido-popular,PODEMOS,0.007560225203633308,0.001343335723504424,Partido popular,0.011573085561394691,Ciudadanos,0.0014349909033626318,0.009908594191074371,0.0011776536703109741
1349642530460217344,Anoche Vicente Vallés manipuló las palabras de @PabloIglesias para atacar al Gobierno y a @PODEMOS y para proteger los beneficios milmillonarios de las eléctricas que te atracan con la factura de la luz. La manipulación es tan burda que es muy fácil de desmontar. Breve hilo 👇 https://t.co/1vpoFoRGe4,pablo-echenique-robba,podemos,PODEMOS,0.9789381623268127,0.011957231909036636,Ciudadanos,0.980927586555481,Ciudadanos,0.013303467072546482,0.980912983417511,0.01337652001529932
1349986907799826432,"La declaración fake (basada en ""rumorología"" según el propio declarante) se ""pierde""... hasta que la pide VOX.

El juez abronca a @PODEMOS por la falta de unos papeles... que tenía desde hace 15 días.

Eso sí, los titulares difamatorios no los borra nadie. https://t.co/ExHC6Oo6ZC",pablo-echenique-robba,podemos,PODEMOS,0.9440429210662842,0.009493081830441952,Unidas Podemos,0.9668034315109253,Unidas Podemos,0.01703174039721489,0.9193744659423828,0.006458919495344162
1350111268468891655,"🖥Mantenemos reunión online con la Alcaldesa y el Gobierno Municipal del @aythornachuelos sobre la importancia de que cualquier ampliación del cementerio nuclear de El Cabril sea sometida al trámite de licencia municipal.

🏛@PSOE, @IzquierdaUnida y @PODEMOS pretenden eliminarlo. https://t.co/GruCpTffHX",andres-lorite-lorite,partido-popular,PODEMOS,0.006154260598123074,0.001470989198423922,Partido popular,0.008863803930580616,Ciudadanos,0.001588973798789084,0.006914942990988493,0.0013339434517547488
1350174636215042049,"Hay al menos dos tipos de noticias falsas:

- Acusaciones fake a @PODEMOS para adulterar la democracia.
- Publirreportajes masaje a empresas del IBEX (que pagan gustosas por ambas cosas).

Mentir es un negocio muy rentable, como desvela @LaUltima_Hora 👉 https://t.co/Gawur4EWfY https://t.co/FjBMwB2tUM",pablo-echenique-robba,podemos,PODEMOS,0.8841605186462402,0.005627036094665527,Unidas Podemos,0.9283122420310974,Unidas Podemos,0.006938648410141468,0.8369819521903992,0.00424735713750124
1351933143062896643,"Si @PODEMOS entró en el gobierno fue para que la derecha económica se encontrara un muro de contención cada vez que su lobby presionara. Hoy hemos ganado otra batalla, la de las pensiones.
https://t.co/a7DIWvyLC9",jaume-asens-llodra,catalunya-en-comu,PODEMOS,0.8209410309791565,0.0020713540725409985,Unidas Podemos,0.9069432020187378,Unidas Podemos,0.003261795500293374,0.650398850440979,0.001382998307235539
1353982738504814592,"Donde hay ultras es en el gobierno y entre sus socios comunistas, separatistas y terroristas

La comisión para investigar al Ejército de @PODEMOS y el @PSOE es una arbitrariedad y un insulto para las FFAA

Quieren terminar con cualquiera que pueda frenar sus planes totalitarios",,,PODEMOS,0.9949867725372314,0.9962735176086426,Ciudadanos,0.9955013394355774,Unidas Podemos,0.996306300163269,0.995210587978363,0.9957534074783325
1354130465905647619,"En @PODEMOS trabajamos para que, ni con una pandemia de por medio, se quede nadie atrás.  #ReforzarEscudoSocial es extenderlo hasta mayo.👇 https://t.co/QgPEfvErma",jaume-asens-llodra,catalunya-en-comu,PODEMOS,0.006071790121495724,0.002070272108539939,Unidas Podemos,0.008396219462156296,PSOE,0.0022212520707398653,0.006739497650414705,0.001888597384095192
1355904649300221961,"Conozcan a @jesussantosalc, coordinador de @PodemosCMadrid y teniente de alcalde de Alcorcón. Jesús condensa lo que es @PODEMOS: gente corriente, cabezota, que trabaja más que nadie y que nunca se le olvida que los de abajo son los suyos... y son sus jefes https://t.co/3Hk8PfOdfm",pablo-echenique-robba,podemos,PODEMOS,0.010003196075558662,0.0014585700118914247,PP,0.013224651105701923,Ciudadanos,0.001579735428094864,0.010496925562620163,0.0014546022284775972
1357632946652532736,"🔴 La gestión de la pandemia por el Gobierno conlleva al sector de la hostelería:

➡️ Destrucción de Empleo
➡️ Pérdidas económicas.
➡️ Nada de Ayudas Directas.

🔴 Ayer el PSOE y PODEMOS rechazó en el Congreso el Plan de Ayudas propuesto para la Hostelería por el @populares https://t.co/4ZtIhEjwXV",javier-merino-martinez,partido-popular,PODEMOS,0.2182135283946991,0.000748234975617379,Vox,0.3727547228336334,Cs,0.0008913198835216463,0.26230061054229736,0.0008234331617131829
1357780324407730180,"Esta semana, justo cuando Bárcenas empezaba a cantar (casualidad, por supuesto), varios medios empezaron a difundir por tierra, mar y aire el enésimo bulo difamatorio sobre @PODEMOS.

Este vídeo de @LaUltima_Hora explica muy bien el modus operandi mafioso. https://t.co/QRexrGBKaJ",pablo-echenique-robba,podemos,PODEMOS,0.9800866842269897,0.01702645793557167,Unidas Podemos,0.9916979074478149,Unidas Podemos,0.07059018313884735,0.9797512888908386,0.01609405316412449
