twitter_id,original_text,slug,party_slug,party_original,toxic_original,very_toxic_original,most_toxic_party,most_toxic_party_toxicity,most_verytoxic_party,most_verytoxic_party_toxicity,PARTIDO_toxic,PARTIDO_verytoxic
1344978091807035392,Un año de oposición: a la peor pandemia PP y Vox añadieron la crispación política https://t.co/b248pfrb6G vía @eldiarioes,maria-angeles-marra-dominguez,psoe,Vox,0.5257918238639832,0.0010391511023044586,VOX,0.7018330693244934,VOX,0.0013861253391951323,0.35939300060272217,0.0008555667009204626
1345132554995851264,"“La intuición política es clara: hay una mayoría rotunda de no nacionalistas que buscan un partido que pueda -sin cálculos, ni jugueteos políticos, ni complejos- defender sus posiciones.
Quizá haya llegado la hora de Vox…”
 https://t.co/dTCKjhen6K",juan-luis-steegmann-olmedillas,vox,Vox,0.04354164004325867,0.000774694955907762,VOX,0.05517487972974777,Partido popular,0.0009322730475105345,0.019518576562404633,0.0009769193129613996
1346501757665501184,Más claro que el agua: la crispación en el Congreso es cosa de Vox y PP 👇🏾 https://t.co/Bn2hOiXmJI,jaume-asens-llodra,catalunya-en-comu,Vox,0.9519948363304138,0.006657105404883623,VOX,0.9710716009140015,VOX,0.010858801193535328,0.5103442668914795,0.0014230404049158096
1347172527504838656,Lo que pretendían los exaltados que asaltaron el Capitolio era precisamente lo contrario: atacar a la democracia. Estas declaraciones del candidato de Vox en Logroño son una barbaridad intolerable. Cuánto daño hace el extremismo 🤦🏻‍♂️ https://t.co/HemXNonlh7,,,Vox,0.9956573247909546,0.46152040362358093,PSOE,0.9961846470832825,Partido popular,0.6497672200202942,0.9961869120597839,0.6424853801727295
1347568998142128128,"Vox y Trump señalan desde la tribuna. Sus seguidores responden en la calle.
https://t.co/yUJppM80SV",jaume-asens-llodra,catalunya-en-comu,Vox,0.5459038615226746,0.0014515573857352138,Unidas Podemos,0.8228667974472046,Unidas Podemos,0.002487659454345703,0.5261114835739136,0.0014424414839595556
1347598749892280322,Monedero imputado por identificar a Vox con los crímenes cometidos por los nazis: https://t.co/mJo1BHpMfP,juan-luis-steegmann-olmedillas,vox,Vox,0.019760673865675926,0.0014558202819898725,PSOE,0.25828972458839417,PSOE,0.005274792667478323,0.1073312759399414,0.002680721925571561
1347598886614003712,"""Estresado por la presión de Vox, Casado no tardaría muchas semanas en acusar a Sánchez de “presidente ilegítimo”. Ese ha sido el marco de la política de oposición en los últimos doce meses.""

Lean a @EnricJuliana sobre el golpismo del Siglo XXI. https://t.co/mOm5tDriFC",pablo-echenique-robba,podemos,Vox,0.14332719147205353,0.0006978720775805414,PODEMOS,0.1859586536884308,VOX,0.0007268202607519925,0.06698578596115112,0.0006593031575903296
1348669270792798208,!!!Atacando a Sanchez!!! 😱😱😱Vox considera «obscena» la foto de Casado y ataca a Almeida y Díaz Ayuso por su gestión de la nevada https://t.co/HuviqKLu7j,carmen-riolobos-regadera,partido-popular,Vox,0.8989143967628479,0.0030892309732735157,PODEMOS,0.934227466583252,Ciudadanos,0.004725105129182339,0.9275936484336853,0.003971673548221588
1349471617471164418,"El as bajo la manga de Vox para frenar los indultos a los golpistas del 1-O, por @miguelpr83 https://t.co/GlvvB5RGw3 a través de @libertaddigital",juan-luis-steegmann-olmedillas,vox,Vox,0.9553927183151245,0.005422011949121952,Ciudadanos,0.9772260189056396,Ciudadanos,0.01256793737411499,0.9216634035110474,0.00337456027045846
1350023317038772224,"Hoy desde @VoxCortesCyL1 hemos preguntado por los motivos de reducir el servicio de pediatría en Candeleda y Lanzahíta. Más que reducir habría que aumentar este servicio. Los pediatras son esenciales para las familias con niños pequeños, para el asentamiento de población.#VOXÚtil https://t.co/LCI3SoLiri",,,Vox,0.0057543120346963406,0.0021023855078965425,Unidas Podemos,0.0089656887575984,Vox,0.0021023855078965425,0.006679654587060213,0.001823439379222691
1350033139687694336,"Si alguna vez os habéis preguntado cómo Vox llena la red de bulos, ahora mismo tenéis una gran ocasión. 

Mirad este vídeo de @ionebelarra desmontando los beneficios caídos del cielo de las eléctricas y después clicad en #EsCulpaDelFrutero. Luego sacad conclusiones. https://t.co/JSDueyZOLH",jaume-asens-llodra,catalunya-en-comu,Vox,0.9606231451034546,0.006426370237022638,PP,0.9690022468566895,PP,0.00847815815359354,0.9031160473823547,0.003212160663679242
1350053350037983234,"Escándalo en Canal Sur: Vox ficha a un tertuliano condenado por vejación y amenazas.

La Canal Sur se vio obligada a pedir perdón por las opiniones machistas y racistas del tertuliano ante el salvaje caso de #ViolenciaDeGénero en Cártama.  https://t.co/aREDX7rzLt",beatriz-micaela-carrillo-de-los-reyes,psoe,Vox,0.8353862762451172,0.002373509109020233,PSOE,0.968700110912323,PSOE,0.010294036939740181,0.6689055562019348,0.001451876014471054
1351596382289801218,"Hoy en la ponencia del Proyecto de Ley de medidas sobre violencia de género, todos los partidos han votado en contra de las propuestas de @vox_es para que la protección se amplíe a todo tipo de víctimas. 
Para defender a niños, hombres y homosexuales, sólo queda Vox. https://t.co/PU2bkeebR2",carla-toscano-de-balbin,vox,Vox,0.09066784381866455,0.0007433949504047632,Cs,0.12694045901298523,PODEMOS,0.0008712219423614442,0.03137094900012016,0.000815146544482559
1352277383534026755,"Casado todavía no se ha enterado de que fue la falta de principios y valentía del PP lo que le hizo perder la confianza de sus votantes. La irrupción de Vox es efecto del hartazgo de los españoles, y no sólo de los que votaban derecha.

https://t.co/XUQqTIEbaa",,,Vox,0.8788961172103882,0.0029761542100459337,VOX,0.9246140122413635,VOX,0.0044913641177117825,0.8910202383995056,0.0037839189171791077
1352370363049635840,"Desde @VoxCortesCyL1 hemos preguntado qué ha pasado con las vacunas que estaban destinadas para Ávila esta semana, interrumpiéndose el ciclo de inmunización del personal sanitario ⬇️⬇️ Protejamos a la población, no la encerremos. https://t.co/dAp2CO2ORI",,,Vox,0.020375512540340424,0.0009411944192834198,Unidas Podemos,0.04879538342356682,PSOE,0.001137056853622198,0.017385201528668404,0.001035833964124322
1353335289528332288,Resumen de mi semana en twitter: me mandan capturas de un filósofo que escribe para Pedro jeta y me tiene bloqueado llamándome “mamporrero macarra de Vox” repetidas veces y con cualquier excusa. Guardo las capturas y valoro denunciarlo en el juzgado. Por miserable y cobarde.,joaquin-robles-lopez,vox,Vox,0.9918195009231567,0.9952841401100159,Unidas Podemos,0.9928393363952637,Ciudadanos,0.9957674741744995,0.9905644655227661,0.9937435984611511
