twitter_id,original_text,slug,party_slug,original_name,toxic_original,very_toxic_original,most_toxic_leader,most_toxic_leader_toxicity,most_verytoxic_leader,most_verytoxic_leader_toxicity,LIDER_toxic,LIDER_verytoxic
1345429153357701121,El acuerdo del Gobierno con Reino Unido sobre Gibraltar exige transparencia. Por ello hemos registrado solicitud de comparecencia de Pedro Sánchez para que dé cuentas ante el Congreso de todos los aspectos del acuerdo y la situación tras la salida de Reino Unido de la UE.,concepcion-gamarra-ruiz-clavijo,partido-popular,Sánchez,0.004959100391715765,0.0023205445613712072,@Santi_ABASCAL,0.0052314517088234425,@monasterioR,0.0025078668259084225,0.006788513623178005,0.0017835345352068543
1345630564498481153,"Los españoles hartos de la irresponsabilidad de Sánchez, Iglesias e Illa.  @pablocasado_ , @paconunez_ y el @populares siguen sumando apoyos gracias a su trabajo. https://t.co/1Fj6rPHyOY",carmen-riolobos-regadera,partido-popular,Iglesias,0.9937803149223328,0.10973070561885834,Monasterio,0.9946594834327698,Monasterio,0.18839813768863678,0.9935904741287231,0.09915624558925629
1345650372191379456,Casado se sitúa a menos de tres puntos de Sánchez con Podemos en retroceso https://t.co/xXKnj8Y7yF,ana-belen-vazquez-blanco,partido-popular,Casado,0.032812248915433884,0.0007945274701341987,Monasterio,0.23645208775997162,Ayuso,0.0011581077706068754,0.060691948980093,0.0008060144609771669
1345650372191379456,Casado se sitúa a menos de tres puntos de Sánchez con Podemos en retroceso https://t.co/xXKnj8Y7yF,ana-belen-vazquez-blanco,partido-popular,Sánchez,0.032812248915433884,0.0007945274701341987,Yolanda,0.20963694155216217,Ayuso,0.000875743804499507,0.029121968895196915,0.000851078424602747
1345690120033349645,"¿ Qué está pasando?

➡️ Que los españoles ya saben que ante el Gobierno de Sanchez e Iglesias, la única alternativa para salvar a 🇪🇸 es el centro derecha liderado por @populares y el Presidente @pablocasado_ 

Vamos!!!👏🏻👏🏻👏🏻 https://t.co/5woqPuUaKW",javier-merino-martinez,partido-popular,Sanchez,0.316566526889801,0.0009000743739306927,Monasterio,0.7789695858955383,Monasterio,0.0024707079865038395,0.2739589214324951,0.0008431720780208707
1345839019293368320,La coherencia socialista: dicen una cosa y hacen lo contrario. El gobierno socialcomunista de Sánchez e Iglesias va a freír a impuestos a la clase media y trabajadora. Subir impuestos en plena crisis no se le ocurre ni al que asó la manteca. https://t.co/YGLpxw2RaM,,,Sánchez,0.9778124690055847,0.013881091959774494,Ayuso,0.987346351146698,Ayuso,0.030768970027565956,0.9804383516311646,0.016026252880692482
1345839019293368320,La coherencia socialista: dicen una cosa y hacen lo contrario. El gobierno socialcomunista de Sánchez e Iglesias va a freír a impuestos a la clase media y trabajadora. Subir impuestos en plena crisis no se le ocurre ni al que asó la manteca. https://t.co/YGLpxw2RaM,,,Iglesias,0.9778124690055847,0.013881091959774494,Yolanda,0.9898720383644104,Yolanda,0.04409559443593025,0.9801193475723267,0.015035898424685001
1346018260161077248,"Desde el 1 de enero están en vigor los presupuestos de Sánchez e Iglesias.

Por eso hay 11 impuestos en los que pagaremos más.

Ej.➡️ solo los coches subirán de media 800€ por el incremento en el impuesto de matriculación.

Sangría fiscal para todos.
https://t.co/Lj3fFjTyQB",belen-hoyo-julia,partido-popular,Sánchez,0.28842735290527344,0.0007702510338276625,Arrimadas,0.7626385688781738,Arrimadas,0.0015665211249142885,0.18893180787563324,0.0007227609166875482
1346064266466648064,"Qué esconde Pedro Sánchez con el Falcon? 

Se negó a informar de su uso al Consejo de Transparencia

Y se niega ahora a cumplir una sentencia de la Audiencia Nacional y ordena recurrir a la Abogacía del Estado con argumentos absurdos",edurne-uriarte-bengoechea,partido-popular,Sánchez,0.9791727066040039,0.02734890580177307,@monasterioR,0.9932071566581726,@monasterioR,0.24338938295841217,0.9763146638870239,0.01699398271739483
1346147933398441986,Lis españoles saben q con ⁦@pablocasado_⁩ todo hubiera ido mejor. La última encuesta deja al PP de Casado muy cerca ya del PSOE de Sánchez | El Digital de Castilla La Mancha  https://t.co/dIRXrxk3Ui,carmen-riolobos-regadera,partido-popular,Casado,0.02825755998492241,0.0007559223449788988,Monasterio,0.18800212442874908,Monasterio,0.0007933661690913141,0.0261773020029068,0.0007965637487359345
