twitter_id,original_text,slug,party_slug,comuni_toxic,comuni_very_toxic,fascis_toxic,fascis_very_toxic,most_toxic,most_very_toxic
1345796272696020992,China comunista 'inunda' EEUU de espías: Los artículos 7 y 14 de la Ley de Inteligencia Nacional china (2017) requieren a cada nacional del país que cometa espionaje si así se le demanda. https://t.co/W134bKaRMA,juan-luis-steegmann-olmedillas,vox,0.9797624945640564,0.06323984265327454,0.9874218702316284,0.15382997691631317,fascista,fascista
1345839019293368320,La coherencia socialista: dicen una cosa y hacen lo contrario. El gobierno socialcomunista de Sánchez e Iglesias va a freír a impuestos a la clase media y trabajadora. Subir impuestos en plena crisis no se le ocurre ni al que asó la manteca. https://t.co/YGLpxw2RaM,,,0.9778124690055847,0.013881091959774494,0.9782800078392029,0.013819887302815914,fascista,comunista
1346915765522472960,"@realDonaldTrump ha dado un paso más allá y está alentando un golpe de estado en EEUU. Para todos los que pensáis que el #fascismo no es un peligro, aquí lo tenéis",german-renau-martinez,psoe,0.9737387299537659,0.015639353543519974,0.9868640303611755,0.03358171135187149,fascismo,fascismo
1346920186494951425,"Fanáticos fascistas asaltan el Capitolio amparados por el discurso de un xenófobo, racista y perdedor de Extrema Derecha. 

Se creen dueños del poder y desprecian la democracia. Solo la quieren cuando ganan. Cuando pierden la deslegitiman,la desprecian y polarizan las sociedades.",zaida-cantera-de-castro,psoe,0.9908750057220459,0.9968762397766113,0.9909720420837402,0.9972289204597473,fascista,fascista
1346928196529377282,"“La democracia es algo delicado que hay que proteger”, dice el presidente electo de USA @JoeBiden 
El populismo y por ende el fascismo ponen en jaque la democracia, incluso la del país que ha sido su emblema. Tomemos nota. Ni un paso atrás. https://t.co/eLiQ2vGuWe",lidia-guinart-moreno,psoe,0.013605775311589241,0.0011353103909641504,0.03588603064417839,0.0008157771080732346,fascismo,comunismo
1347073864736583680,"La socia del Gobierno socialcomunistarra, la de Bildu,  ha visitado en la cárcel al que puso la bomba a mi familia asesinada, Parot. Cuesta ver como periodistas, asociaciones y ciudadanos apoyan al Gobierno indigno y traidor apoyado por terroristas.11 asesinados, de ellos 6 niños https://t.co/QTYHGmalLQ",francisco-jose-alcaraz-martos,vox,0.995236873626709,0.9919477105140686,0.9954938888549805,0.990161657333374,fascista,comunista
1347508722453590021,Solo hubo urnas. Ni violencia. Ni muertos. Ni nazis. Dejar de blanquear al fascismo. Lo de Trump tiene que ver con vuestros socios de extrema derecha. https://t.co/9GMmrjKdI9,jaume-asens-llodra,catalunya-en-comu,0.9616224765777588,0.010726295411586761,0.976280927658081,0.018540216609835625,fascismo,fascismo
1348016548334755841,"El virus es comunista, el 5G mata, la Tierra plana o hueca, la vacuna un chip de Soros y la última: la nieve es de plástico. 

La población aumenta y la inteligencia permanece constante. 

https://t.co/ICAhjaW6MI",guillermo-diaz-gomez,ciudadanos,0.9466342329978943,0.011450679041445255,0.7999290823936462,0.003916617948561907,comunista,comunista
1349632182378237953,"China comunista dejó viajar por todo el mundo a cientos de miles de chinos infectados. No sólo exportó baratijas , sino  coronavirus. Debe pagar compensaciones, a todas las naciones. https://t.co/3Dd0JCjv8C",juan-luis-steegmann-olmedillas,vox,0.9933406710624695,0.4719984233379364,0.9950087070465088,0.6844621896743774,fascista,fascista
1350083093223378946,"Tenemos el país colapsado y paralizado por tres pandemias: la del Covid, la del frío y el hielo, y la del socialcomunismo.",maria-munoz-vidal,ciudadanos,0.9950821399688721,0.9911352396011353,0.9948871731758118,0.9901521801948547,comunismo,comunismo
