twitter_id,original_text,slug,party_slug,emojis,toxicity,toxicity_without_emojis,sev_toxicity,sev_toxicity_without_emojis
1403119500384522244,"Ekain Perrino tiene 23 años. 

Hace días, 13 homófobos, al grito de ""maricón de mierda, das asco"", le dieron una brutal paliza que le dejó hospitalizado. 

Hoy todo el pueblo de Basauri se ha volcado a las calles a darle apoyo y a decir “no”a la homofobia 🌈

#StopHomofobia https://t.co/gKUGCMkYhV",gerardo-pisarello-prados,catalunya-en-comu, 🌈,0.94604987,0.5307003259658813,0.9765431999999998,0.004654575139284134
1412152021155778561,"🌈 Los que hoy dicen que matar a un chico de 24 años mientras le gritan “maricón de mierda” no es una agresión homófoba, son los mismos que también niegan la violencia machista contra las mujeres. 

Y tienen un mismo origen: el patriarcado y el machismo.",joan-mena-arca,catalunya-en-comu, 🌈,0.8818314,0.8784685730934143,0.9419214,0.00622683996334672
1383460145892446216,"😭 Cada vez que pienso que esta señora, señoro o señore, 

💰utiliza 451 millones de euros de todos los españoles para hacer el mamarracho, mamarracha o mamarrache... https://t.co/5dj8b4i8Rg",jose-angel-alonso-perez,partido-popular, 😭,0.8678582,0.9964548349380493,0.6572104,0.7889875769615173
1382341705182105610,"“Cerdos endogámicos y pedantes, inútiles, enfermos, ruinas, corruptos”... Si Lesmes no le escribe un comunicado a @pvallin es porque no ha visto “La guerra de las galaxias”...  👇🏻

https://t.co/PSousjhqos",pablo-iglesias-turrion,, 👇🏻,0.85532725,0.9934660792350769,0.8092041999999999,0.997177004814148
1374444794202615809,"Lo que han hecho PSOE y Podemos en Mallorca retirando la calle de Toledo es una ofensa a la inteligencia y al corazón de todos los españoles, pero especialmente para los mallorquines y los toledanos. 

🇪🇸 no se merece estos gobernantes tan ignorantes, sectarios e incompetentes. https://t.co/HtqfhhWS74",antonio-pablo-gonzalez-terol,partido-popular, 🇪🇸,0.84602195,0.9959661960601807,0.34720832,0.9910411238670349
1359487205937459203,"🎥Así es cómo trata el presidente de la Asamblea Regional @castillo_albert (C’s) a las diputadas de @podemosmurcia 
👉 Deja que los diputados del PP griten e interrumpan, la diputada se queja y la echa a ella
🤬Vaya vergüenza y vaya un sinvergüenza https://t.co/K0FvrH8HQP",javier-sanchez-serna,podemos, 👉,0.80598867,0.9916388392448425,0.5004755999999999,0.9966738224029541
1407008157562511363,"🔴 No permitiremos que nadie destruya España para perpetuarse en el poder. 
Aquí un mentiroso compulsivo!!👇
#SánchezNoCataluñaSí https://t.co/ZMCz5qRCpH",ana-belen-vazquez-blanco,partido-popular, 🔴,0.7817961999999999,0.9950991272926331,0.16242875,0.9962775111198425
1441397753205166080,"🤮 Bruja, borracha, pervertido, estás mal de la cabeza… esos insultos los hemos escuchado estos días en el Congreso.

❌ No es mala educación de la ultraderecha. Es una estrategia premeditada para meter miedo.

Aquí os dejo mi artículo en @publico_es 👉 https://t.co/6pHxhkJeGv",joan-mena-arca,catalunya-en-comu, 🤮 ❌ 👉,0.7653171999999999,0.9957463145256042,0.7312715999999999,0.991827130317688
1383374981644492810,"“Hijo, hija, hije.
Niño, niña, niñe”...

La igualdad se defiende con propuestas y trabajo, favoreciendo la conciliación, luchando contra la brecha salarial... Pero la ministra Irene Montero prefiere dedicar el tiempo a atacar a la lengua española y hacer este ridículo 🤦🏻‍♀️ https://t.co/R6KfrjzLON",ines-arrimadas-garcia,ciudadanos, 🤦🏻‍♀️,0.7618585999999999,0.9941931366920471,0.50803655,0.9965304732322693
1353081437554143233,"Que no... que no son lo mismo....todo el día con la tabarra de que Bildu es ETA...

Malditos. 

Por cierto... esto son los “amigos” de @MESperMallorca o me confundo? 🤨 https://t.co/4PdDKTWSfO",margarita-prohens-rigo,partido-popular, 🤨,0.7343341,0.9953176975250244,0.5185823,0.996113657951355
